Date,Market,Commodity,Price
2023-01-01,Ongole,Cotton,6800
2023-02-01,Ongole,Cotton,6950
2023-03-01,Ongole,Cotton,7100
2023-04-01,Ongole,Cotton,7050
2023-05-01,Ongole,Cotton,7200
2023-06-01,Ongole,Cotton,7350
2023-07-01,Ongole,Cotton,7400
2023-08-01,Ongole,Cotton,7550
2023-09-01,Ongole,Cotton,7600
2023-10-01,Ongole,Cotton,7450
2023-11-01,Ongole,Cotton,7300
2023-12-01,Ongole,Cotton,7250
2024-01-01,Ongole,Cotton,7200
2024-02-01,Ongole,Cotton,7350
2024-03-01,Ongole,Cotton,7500
2024-04-01,Ongole,Cotton,7450
2024-05-01,Ongole,Cotton,7600
2024-06-01,Ongole,Cotton,7750
2024-07-01,Ongole,Cotton,7800
2024-08-01,Ongole,Cotton,7950
2024-09-01,Ongole,Cotton,8000
2024-10-01,Ongole,Cotton,7850
2024-11-01,Ongole,Cotton,7700
2024-12-01,Ongole,Cotton,7650